symbol,liquidity,score,final_score
EIB,1.4784205563431256,1.627397603905225,4.215201073469588
ACB,1.3461056126210702,1.6457713273904127,4.083983726230903
EVF,1.003533522856118,1.5604581727392488,3.5449274865362144
DCM,1.2325026090639106,1.307356009962596,3.440037145820587
DIG,1.154631655949541,1.3522353973772996,3.4139110832053987
DXG,1.4353572535263046,0.9707281511436733,3.1785209309470757
BID,1.54958680269671,0.7810319058340783,3.0310520219871693
BVH,0.5207352038496039,1.2454862218419898,2.493111577382509
DXS,0.10270562155944526,1.144217498512644,1.8395729936403005
BAF,0.8081687722435617,0.5316470816155178,1.7672731491155504
DTD,-0.845721878622435,1.729907544831319,1.5799950629000568
DXP,-0.4683024287066097,1.3888904430983193,1.5213727501995475
BMP,0.3460778842800834,0.45632634520745424,1.0997829789472815
BSR,1.5559499830222219,-0.8216057966388222,0.634731284668433
DPG,0.16559233799478665,0.2252652817797567,0.536608728263379
BFC,-0.2162784655469892,0.39141796794979306,0.32759279326830254
DGC,1.2858455099539186,-0.9217543066252274,0.16038315200686104
DBC,0.5981675505500771,-0.43240148991561506,0.06919882578666992
DPM,1.0687574293793418,-0.8193787214141325,0.05344083313401127
ANV,0.06884450730328455,-0.09535477054770998,-0.060418747057623526
DGW,0.721294144180012,-0.78675259990702,-0.3145759268445155
BCM,0.2530925871110746,-0.830248145554447,-0.9416611137983812
DHC,-0.3807609067373773,-0.5217201471745002,-1.239493308846603
DSE,-0.4293363974317205,-0.51933618678178,-1.2942079570907346
BSI,-0.12111457650504914,-0.8029109335588994,-1.3497038921444082
DPR,-0.008291445284985429,-0.943161915051255,-1.424692606918865
DHG,-1.4212898922063661,0.04567925175987783,-1.6370289930078226
BWE,-0.2642359385356843,-0.9884112923898122,-1.7997000648275394
AAA,-0.6236151551474162,-0.739064137516268,-1.8569343924513013
DHA,-1.151288577332427,-0.33467997679970235,-1.8835662579984658
AGR,-0.6543168488822371,-0.958082516807304,-2.2223039938696405
BVS,-0.6839232801993235,-0.9389667649305157,-2.2291580836349616
ELC,-0.6920651577183095,-0.9346462145136214,-2.2324475110324036
BMI,-0.5759502472268522,-1.037161706191578,-2.2468828559595897
AGG,-0.7019063000948044,-1.0301962837908771,-2.387581985800081
DC4,-1.2967518767240513,-0.585535559817332,-2.4344055917948597
DRC,-0.9719239929806572,-0.8721946254265929,-2.474600729716678
ASM,-1.2674423030127102,-0.9788877028884018,-2.989262317947855
