date,symbol,result,equity
2026-03-02 07:00:00,DXP,1,101236.24595469255
2026-03-02 07:00:00,BTP,-1,99211.52103559871
2026-03-03 07:00:00,EVF,1,99623.342443671
2026-03-03 07:00:00,BTP,-1,97630.87559479759
2026-03-04 07:00:00,BTP,-1,95678.25808290164
2026-03-05 07:00:00,BTP,-1,93764.69292124361
2026-03-25 07:00:00,BTP,0,93764.69292124361
2026-03-27 07:00:00,BTP,0,93764.69292124361
2026-03-30 07:00:00,BTP,0,93764.69292124361
2026-03-31 07:00:00,BTP,0,93764.69292124361
2026-04-10 07:00:00,BTP,0,93764.69292124361
